Date:,05-May-22,Issue,-1,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,
Work package,WP4,ionacoustic Imaging,,,,,,,,,,,
Manager,WPM,"J Bamber, E Harris, J. Matheson",,,,,,,,,,,
,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,
Years, ,Year 1,Year 2,Total,,Year 1,,,,Year 2,,,
Flag,,Fraction,Fraction,Fraction,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Task,Task 1,,,,,,,,,,,,
Institute,"ICR, Radiotherapy and Imaging",,,,,,,,,,,,
Staff,ICR Staff 1,0.03,0.07,0.1,,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07
Staff,ICR Staff 2,0.03,0.07,0.1,,0.03,0.03,0.03,0.03,0.07,0.07,0.07,0.07
Staff,ICR PDRA,,1,1,,,,,,1,1,1,1
Staff,ICR PhD,,,,,,,,,,,,
Institute,"UCL, Biomedical Engineering",,,,,,,,,,,,
Staff,UCL Staff 1,0.03,0.15,0.18,,0.03,0.03,0.03,0.03,0.15,0.15,0.15,0.15
Staff,UCL PDRA(shared ICL),,,,,,,,,0,0,0,0
Institute,STFC-PPD,,,,,,,,,,,,
Staff,STFC-PPD Staff 1,0.03,0.05,0.08,,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05
Staff,STFC-PPD PDRA,,,,,,,,,,,,
RiskMitigationStaff,Risk mitigation effort,,,,,,,,,,,,
EndStaff,Staff totals,0.12,2.34,2.46,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,,,,,,,,,
Task,Task 1,,,,,,,,,,,,
Equipment,Verasonics Vantage 256,,,,,,,,,,,,
Equipment,Verasonics 256-1024 multiplexer,,,,,,,,,,,,
Equipment,"Aspectus LEGION AMP pre-amplifier, 256 channel",,,,,,,,,,,,
Equipment,"Broadband single element sensor (e.g., passive cavitation detector)",,3,3,,,,,,,,,
Equipment,"Broadband single channel receiver (e.g., LeCoeur)",,2,2,,,,,,,,,
Equipment,Bespoke 1024 element acoustic sensor array ,,,,,,,,,,,,
Equipment,Technician time for mechanical rig/alternative source studies,,10,10,,,,,,,,,
Equipment,Any computing kit/software for UCL and ICL?,,10,10,,,,,,,,,
Equipment,Hardware for smartphantom assembly,9,,9,,,,,,,,,
Equipment,Technician time for smartphantom construction,,,,,,,,,,,,
Equipment,Beam time,1.5,3.5,5,,,,,,,,,
EquipEnd,Sub-total,10.5,28.5,39,,,,,,,,,
TotalEquip,Equipment total,10.5,28.5,39,,,,,,,,,
Consume,Consumables,,24,24,,,,,,,,,
OtherNonStaff,"PPI, engagement and Outreach",,2,2,,,,,,,,,
Travel,Travel,11.6,11.6,23.2,,,,,,,,,
NonStaffEnd,Total non-staff costs,22.1,66.1,88.2,,,,,,,,,
,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,
12-Jul-22,KL: Strip years 3--5 to leave only the Preliminary Activity,,,,,,,,,,,,
21-Apr-21,ND: I backdated all the changes from edited Ken's document 2022-04-13 including: ,,,,,,,,,,,,
,"Changing student/technicial flags to staff, remove outreach/ppi rows, added zeros and fixed averaging in staff costs, and changing Y1 students to Y2 with Ken's modified costing",,,,,,,,,,,,
10-Dec-21,based of WP2-2021-11-05-LhARA sent by Ken on 8 Dec 2021.  Reprofiled to have the same overall cost but now with ~£695k over years 1+2,,,,,,,,,,,,
08-Nov-21,KL: WP1 instead of source at B1; date updated in B1.  Forrmatting in StaffEffort by quarter,,,,,,,,,,,,
22-Oct-21,"ND: added some QUB costs, increased laser diagnostic costs, extended Imperial PDRA to include RAL secondment, slight increase in travel costs for hosting Stanford students",,,,,,,,,,,,
23-Sep-21,ND: changed staffing costs - RF @ Strathclyde and added QUB contribution,,,,,,,,,,,,
02-Sep-21,"ND: added some staffing costs for ICL, added travel for year 1, added costing for TOF system, increased laser diagnostic cost to include diagnostic system at ICL for active feedback studies, added as-yet-unspecified engineering fees",,,,,,,,,,,,
31-Aug-21,RG: Added additional staff effort and equpment,,,,,,,,,,,,
26-Aug-21,"KL: fix header info (WP title, WPMs)",,,,,,,,,,,,
,"KL: Change ""Access fees"" flag to OtherNonStaff for now",,,,,,,,,,,,
,Minor cosmetic fixes,,,,,,,,,,,,
02-Jul-21,First version for discussion with CW and DC.,,,,,,,,,,,,
05-May-22,Cwhyte move into ,,,,,,,,,,,,
17-May-22,KL: Fix student time in year 5,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2.46,,,,,,,,,,
,,,66.1,,,,,,,,,,
,,2yr Total,312.1,,,,,,,,,,
