Date:,27-Apr-22,Issue,6,,,,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,,,,
Work package,WP6,LhARA Demo,,,,,,,,,,,,,,
Manager,WPM,"N. Bliss, J. Pasternak",,,,,,,,,,,,,,
,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,,,,
Years,Staff,Year 1,Year 2,Total,,Year 1,,,,Year 2,,,,,,
Flag,,Fraction,Fraction,Fraction,,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,,,
Task,CDR and conceptual design development,,,,,,,,,,,,,,,
Institute,Imperial Physics,,,,,,,,,,,,,,,
Staff,Imp Staff 1,0.1,0.1,0.20,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,,,
Staff,Imp PDRA1,0.5,0.5,1.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,
Staff,Imp PDRA2,,,,,,,,,,,,,,,
Staff,Imp PG1,,0.5,0.50,,,,,,,,1.00,1,,,
Staff,RF eng.,,,,,,,,,,,,,,,
Staff,Diagnostics expert,,,,,,,,,,,,,,,
Institute,RHUL Physics,,,,,,,,,,,,,,,
Staff,RHUL PDRA1,0.50,0.50,1.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,
Staff,RHUL PG1,,0.5,0.50,,,,,,,,1.00,1,,,
Task,CDR and technical design studies,,,,,,,,,,,,,,,
Institute,STFC Technical,,,,,,,,,,,,,,,
Staff,STFC WP management,0.20,0.25,0.45,,0.20,0.20,0.20,0.20,0.25,0.25,0.25,0.25,,,
Staff,Mechanical engineering design specification,0.50,0.80,1.30,,0.50,0.50,0.5,0.5,0.8,0.8,0.8,0.8,,,
Staff,Electrical engineering design specification,0.05,0.55,0.60,,0.05,0.05,0.05,0.05,0.55,0.55,0.55,0.55,,,
Staff,Controls specification,0.05,0.25,0.30,,0.05,0.05,0.05,0.05,0.25,0.25,0.25,0.25,,,
Staff,Technical services specification,,0.40,0.40,,,,,,0.4,0.4,0.4,0.4,,,
Staff,Vacuum specification,,0.20,0.20,,,,,,0.2,0.2,0.2,0.2,,,
Staff,Radiation Protection Advisor,0.025,0.075,0.10,,0.03,0.03,0.025,0.025,0.075,0.075,0.075,0.075,,,
EndStaff,Staff totals FTE,1.93,4.63,6.55,,,,,,,,,,,,
NonStaffHd,Non staff,£k,£k,,,,,,,,,,,,,
Task,CDR and technical design studies,,,,,,,,,,,,,,,
OtherNonStaff,Work package management (meetings)moved WP1,,,,,,,,,,,,,,,
Equipment,Radiation Protection Study (specialist company),,,,,,,,,,,,,,,
Task,CDR and conceptual design development,,,,,,,,,,,,,,,
Equipment,FFA  magnet prototype,,,,,,,,,,,,,,,
Equipment,FFA MA Cavity prototype ,,,,,,,,,,,,,,,
Equipment,Software ,2.50,2.50,5.00,,,,,,,,,,,,
EquipEnd,Sub-total,2.50,2.50,5.00,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,,,,,,,,,,,,,
TotalEquip,Eqipment total,2.50,2.50,5.00,,,,,,,,,,,,
Consume,Consumables (Imp),3.00,3.00,6.00,,,,,,,,,,,,
Travel,Travel,5.00,5.00,10.00,,,,,,,,,,,,
NonStaffEnd,Total non-staff costs,10.50,10.50,21.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,,,,
12-Jul-22,KL: Remove years 3--5 to leave only the Preliminary Activity,,,,,,,,,,,,,,,
27-Apr-22,"Following Colin's recommendation, re-designate 2022/23 -> Year 1 etc.",,,,,,,,,,,,,,,
26-Apr-22,Fix STFC staff fractions to match those defined by N. Bliss in 1272-pm-sow-0001-v1.0 - lhara-wp6 stfc-dl-sow,,,,,,,,,,,,,,,
,Add task headings to reflect heading in 1272-pm-sow-0001-v1.0 - lhara-wp6 stfc-dl-sow,,,,,,,,,,,,,,,
,"Correct ""Meetings"" flag to ""OtherNonStaff"" to capture request for resources to cover meetings",,,,,,,,,,,,,,,
,"Correct ""Study"" to ""Equipment"" so that the rdiation protection cost will appear correctly",,,,,,,,,,,,,,,
25-Apr-22,KL: Taken fresh from SharePoint as advised by Jpa.,,,,,,,,,,,,,,,
14-Apr-22,KL: remove effort for first two quarters of 2022/23 as project notional start is Oct22.,,,,,,,,,,,,,,,
,Fix students at Imperial and RHUL so recruitment is into 2023/24 and cost of full student is carried by the project.,,,,,,,,,,,,,,,
,"Remove blank ""other non staff"" lines at end of table.  Tidy formating.",,,,,,,,,,,,,,,
28-Oct-21,KL: tidy for processing,,,,,,,,,,,,,,,
27-Oct-21,First version CW,,,,,,,,,,,,,,,
01-Nov-21,"STFC WP management added. Radiation protection non staff added, radiation protection staff reduced.",,,,,,,,,,,,,,,
20/11/2021,"JP: merging KL's version with 3.1 by NB/JP and adding sofware, and extra FTEs for RF and Diagnostics",,,,,,,,,,,,,,,
11/12/2021,"JP: aiming to include escalation proposed by KL, while preserving technical staff",,,,,,,,,,,,,,,
