Date:,27-Apr-22,Issue,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work package,WP6,LhARA Demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,WPM,"N. Bliss, J. Pasternak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,,,,,,,,,,,,,,,,
Years,Staff,Year 1,Year 2,Year 3,Year 4,Year 5,Total,,Year 1,,,,Year 2,,,,Year 3,,,,Year 4,,,,Year 5,,,,,,
Flag,,Fraction,Fraction,Fraction,Fraction,Fraction,Fraction,,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,,,
Task,CDR and conceptual design development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute,Imperial Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,Imp Staff 1,0.1,0.1,0.1,0.1,0.1,0.50,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,,,
Staff,Imp PDRA1,0.5,0.5,1,1,1,4.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,
Staff,Imp PDRA2,,,1,1,1,3.00,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,
Staff,Imp PG1,,0.5,,,,0.50,,,,,,,,1.00,1,,,,,,,,,,,,,,,
Staff,RF eng.,,,0.30,0.60,0.60,1.50,,,,,,,,,,0.30,0.30,0.30,0.30,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,,,
Staff,Diagnostics expert,,,0.30,0.50,0.50,1.30,,,,,,,,,,0.30,0.30,0.30,0.30,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,
Institute,RHUL Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,RHUL PDRA1,0.50,0.50,1.00,1.00,1.00,4.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,
Staff,RHUL PG1,,0.5,,,,0.50,,,,,,,,1.00,1,,,,,,,,,,,,,,,
Task,CDR and technical design studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute,STFC Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,STFC WP management,0.20,0.25,0.25,0.25,0.25,1.20,,0.20,0.20,0.20,0.20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,
Staff,Mechanical engineering design specification,0.50,0.80,1.00,1.20,1.20,4.70,,0.50,0.50,0.5,0.5,0.8,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,
Staff,Electrical engineering design specification,0.05,0.55,0.90,1.10,1.10,3.70,,0.05,0.05,0.05,0.05,0.55,0.55,0.55,0.55,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,,
Staff,Controls specification,0.05,0.25,0.35,0.65,0.70,2.00,,0.05,0.05,0.05,0.05,0.25,0.25,0.25,0.25,0.35,0.35,0.35,0.35,0.65,0.65,0.65,0.65,0.7,0.7,0.7,0.7,,,
Staff,Technical services specification,,0.40,0.50,0.50,0.50,1.90,,,,,,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,
Staff,Vacuum specification,,0.20,0.50,0.30,0.30,1.30,,,,,,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,
Staff,Radiation Protection Advisor,0.025,0.075,0.10,0.10,0.10,0.40,,0.03,0.03,0.025,0.025,0.075,0.075,0.075,0.075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,
EndStaff,Staff totals FTE,1.93,4.63,7.30,8.30,8.35,30.50,,,,,,,,,,,,,,,,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,£k,£k,,,,,,,,,,,,,,,,,,,,,,,,,
