Date:,02-Jul-21,Issue,1,,,,,,,,,,,,,,,,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,,,,,,,,,,,,,,,,
Work package,Management,Project management,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,WPM,XXXX XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,,,,,,,,,,,,,
Years,Staff,2022/23,2023/24,2024/25,2025/26,2026/27,Total,,2022/23,,,,2023/24,,,,2024/25,,,,2025/26,,,,2026/27,,,
Flag,,Fraction,Fraction,Fraction,Fraction,Fraction,Fraction,,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
Task,Task 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute,Imperial Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,Staff-code-1,0.1,0.2,0.3,0.4,0.5,1.5,,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5
Staff,Staff-code-2,0.25,0.25,0.25,0.25,0.25,1.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Staff,Staff-code-3,0.25,0.25,0.25,0.25,0.25,1.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Staff,Staff-code-4,0.25,0.25,0.25,0.25,0.25,1.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
RiskMitigationStaff,Risk mitigation effort,0.25,0.25,0.25,0.25,0.25,1.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
EndStaff,Staff totals,1.1,1.2,1.3,1.4,1.5,6.5,,,,,,,,,,,,,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,£k,£k,£k,,,,,,,,,,,,,,,,,,,,,
Task,Task 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,Printers,10,10,10,,,30,,,,,,,,,,,,,,,,,,,,,
Equipment,Faxes,5,5,5,,,15,,,,,,,,,,,,,,,,,,,,,
Equipment,Lie detectors,500,500,500,,,1500,,,,,,,,,,,,,,,,,,,,,
Equipment,Spin doctors,800,800,800,,,2400,,,,,,,,,,,,,,,,,,,,,
EquipEnd,Sub-total,1315,1315,1315,0,0,3945,,,,,,,,,,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),20,20,20,20,20,100,,,,,,,,,,,,,,,,,,,,,
TotalEquip,Eqipment total,1335,1335,1335,20,20,4045,,,,,,,,,,,,,,,,,,,,,
Consume,Consumables,8,9,8,9,8,42,,,,,,,,,,,,,,,,,,,,,
Travel,Travel,8,9,8,9,8,42,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,"PPI, engagement, and outreach",8,9,8,9,8,42,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,Review-committee expenses,8,9,8,9,8,42,,,,,,,,,,,,,,,,,,,,,
NonStaffEnd,Total non-staff costs,1351,1353,1351,38,36,4129,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jul-21,First version for discussion with CW and DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,
